title,author,url,note
羅生門,芥川龍之介,https://www.aozora.gr.jp/cards/000879/files/127_ruby_150.zip,青空文庫 text with ruby
走れメロス,太宰治,https://www.aozora.gr.jp/cards/000035/files/1567_ruby_4948.zip,青空文庫 text with ruby
こころ,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/773_ruby_5968.zip,青空文庫 text with ruby
銀河鉄道の夜,宮沢賢治,https://www.aozora.gr.jp/cards/000081/files/48222_ruby_59603.zip,青空文庫 text with ruby
坊っちゃん,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/752_ruby_2438.zip,青空文庫 text with ruby
人間失格,太宰治,https://www.aozora.gr.jp/cards/000035/files/301_ruby_5915.zip,青空文庫 text with ruby
