word,reading_hiragana,meaning_ko,example_jp,example_ko
推理,すいり,추리,,
推進,すいしん,추진,,
掲載,けいさい,게재,,
描写,びょうしゃ,묘사,,
提供,ていきょう,제공,,
提携,ていけい,제휴 제휴하다,,
提示,ていじ,제시,,
提起,ていき,제기,,
換算,かんさん,환산,,
揺らぐ,ゆらぐ,흔들리다,,
損なう,そこなう,해치다,,
損失,そんしつ,손실,,
搭載,とうさい,탑재,,
携わる,たずさわる,종사하다,,
摘出,てきしゅつ,적출,,
撤回,てっかい,철회,,
操る,あやつる,조종하다,,
操縦,そうじゅう,조종,,
支持,しじ,지지,,
支障,ししょう,지장,,
改まる,あらたまる,바뀌다,,
改修,かいしゅう,개수,,
改定,かいてい,개정,,
改悪,かいあく,개악,,
改良,かいりょう,개량,,
改訂,かいてい,개정,,
改革,かいかく,개혁,,
改革派,かいかくは,개혁파,,
放り込む,ほうりこむ,던져 넣다,,
放任,ほうにん,방임,,
放出,ほうしゅつ,방출,,
放射,ほうしゃ,방사,,
放射能,ほうしゃのう,방사능,,
放棄,ほうき,포기,,
放置,ほうち,방치,,
政府筋,せいふすじ,정부 소식통,,
政権,せいけん,정권,,
故人,こじん,고인,,
故意に,こいに,고의로,,
救援,きゅうえん,구원,,
敗北,はいぼく,패배,,
敗戦,はいせん,패전,,
教材,きょうざい,교재,,
教習,きょうしゅう,교습,,
教職,きょうしょく,교직,,
教訓,きょうくん,교훈,,
敬具,けいぐ,경구,,
数詞,すうし,수사,,
整える,ととのえる,정돈하다,,
整列,せいれつ,정렬,,
整然と,せいぜんと,정연하게,,
文化財,ぶんかざい,문화재,,
文書,ぶんしょ,문서,,
斡旋,あっせん,알선,,
断然,だんぜん,단연,,
断言,だんげん,단언,,
新人,しんじん,신인,,
新入生,しんにゅうせい,신입생,,
新婚,しんこん,신혼,,
新築,しんちく,신축,,
新興,しんこう,신흥,,
方式,ほうしき,방식,,
方策,ほうさく,방책,,
施す,ほどこす,베풀다,,
施設,しせつ,시설,,
旅券,りょけん,여권,,
旅客,りょかく,여객,,
日夜,にちや,밤낮으로,,
旦那,だんな,남편,,
早急な,さっきゅうな,시급한,,
昂奮,こうふん,흥분,,
昇進,しょうしん,승진,,
明白な,めいはくな,명백한,,
明瞭な,めいりょうな,명료한,,
星座,せいざ,별자리,,
映像,えいぞう,영상,,
是正,ぜせい,시정,,
時刻表,じこくひょう,시간표,,
時差,じさ,시차,,
晩年,ばんねん,만년,,
普遍,ふへん,보편,,
晴天,せいてん,맑은 날씨,,
暗殺,あんさつ,암살,,
暗示,あんじ,암시,,
暴力,ぼうりょく,폭력,,
暴動,ぼうどう,폭동,,
暴風,ぼうふう,폭풍,,
書評,しょひょう,서평,,
最先端,さいせんたん,최첨단,,
最善,さいぜん,최선,,
最大級,さいだいきゅう,최대급,,
最年少,さいねんしょう,최연소,,
最年長,さいねんちょう,최연장,,
最高値,さいたかね,최고가,,
最高潮,さいこうちょう,최고조,,
有数,ゆうすう,유수,,
有機,ゆうき,유기,,
有益な,ゆうえきな,유익한,,
有識者,ゆうしきしゃ,유식자 전문가,,
望ましい,のぞましい,바람직한,,
望む,のぞむ,바라다,,
期日,きじつ,기일,,
期末,きまつ,기말,,
期間内,きかんない,기간 내,,
未婚,みこん,미혼,,
未定,みてい,미정,,
未熟な,みじゅくな,미숙한,,
未知,みち,미지,,
未練,みれん,미련,,
未開,みかい,미개,,
末期,まっき,말기,,
本体,ほんたい,본체,,
本分,ほんぶん,본분,,
本名,ほんみょう,본명,,
本国,ほんごく,본국,,
本場,ほんば,본고장 본장,,
本性,ほんしょう,본성,,
本文,ほんぶん,본문,,
本格,ほんかく,본격,,
本気,ほんき,진심,,
本能,ほんのう,본능,,
本質,ほんしつ,본질,,
本音,ほんね,본심 속마음,,
本領,ほんりょう,본령 진가,,
本館,ほんかん,본관,,
条約,じょうやく,조약,,
来場,らいじょう,입장,,
林業,りんぎょう,임업,,
果たす,はたす,완수하다,,
枝,えだ,가지,,
枠内,わくない,테두리 안,,
枯渇,こかつ,고갈,,
架空,かくう,가공,,
柔軟な,じゅうなんな,유연한,,
柔軟性,じゅうなんせい,유연성,,
根底,こんてい,근저,,
根拠,こんきょ,근거,,
根本,こんぽん,근본,,
根気,こんき,끈기,,
格差,かくさ,격차,,
栽培,さいばい,재배,,
棄権,きけん,기권,,
植民地,しょくみんち,식민지,,
検事,けんじ,검사,,
業務,ぎょうむ,업무,,
業者,ぎょうしゃ,업자,,
極める,きわめる,극에 달하다,,
極楽,ごくらく,극락,,
極限,きょくげん,극한,,
楽譜,がくふ,악보,,
概略,がいりゃく,개략,,
構想,こうそう,구상,,
様式,ようしき,양식,,
様相,ようそう,양상,,
模倣,もほう,모방,,
模型,もけい,모형,,
模範,もはん,모범,,
模索,もさく,모색,,
権力,けんりょく,권력,,
権威,けんい,권위,,
権限,けんげん,권한,,
樹木,じゅもく,수목,,
機構,きこう,기구,,
機能,きのう,기능,,
機関誌,きかんし,기관지,,
欠く,かく,결여되다,,
欲望,よくぼう,욕망,,
欲深い,よくぶかい,욕심이 많다,,
欺く,あざむく,속이다,,
正体,しょうたい,정체,,
正夢,まさゆめ,현실이 된 꿈,,
正常な,せいじょうな,정상적인,,
正義,せいぎ,정의,,
正解,せいかい,정답,,
武力,ぶりょく,무력,,
武装,ぶそう,무장,,
歯科,しか,치과,,
歴史上,れきしじょう,역사상,,
死刑,しけい,사형,,
残酷な,ざんこくな,잔혹한,,
殺人,さつじん,살인,,
殺菌,さっきん,살균,,
母国,ぼこく,모국,,
母校,ぼこう,모교,,
比例,ひれい,비례,,
比率,ひりつ,비율,,
比重,ひじゅう,비중,,
民俗,みんぞく,민속,,
民宿,みんしゅく,민박,,
民族,みんぞく,민족,,
気まぐれな,きまぐれな,변덕스러운,,
気品,きひん,기품,,
気流,きりゅう,기류,,
気象,きしょう,기상,,
気質,きしつ,기질,,
気風,きふう,기풍,,
水源,すいげん,수원,,
水田,すいでん,논,,
氾濫,はんらん,범람,,
求める,もとめる,구하다,,
汚らわしい,けがらわしい,더럽다 불결하다,,
決勝,けっしょう,결승,,
決意,けつい,결심,,
決断,けつだん,결단,,
決算,けっさん,결산,,
決行,けっこう,결행,,
決議,けつぎ,결의,,
汽船,きせん,기선,,
沈殿,ちんでん,침전,,
沈没,ちんぼつ,침몰,,
沈黙,ちんもく,침묵,,
沖,おき,먼바다,,
没収,ぼっしゅう,몰수,,
没落,ぼつらく,몰락,,
没頭,ぼっとう,몰두,,
沸騰,ふっとう,비등,,
治安,ちあん,치안,,
治療,ちりょう,치료,,
沿岸,えんがん,연안,,
沿線,えんせん,노선 주변,,
法学,ほうがく,법학,,
法廷,ほうてい,법정,,
法案,ほうあん,법안,,
泥沼,どろぬま,수렁,,
洋風,ようふう,양풍,,
洪水,こうずい,홍수,,
活発な,かっぱつな,활발한,,
流出,りゅうしゅつ,유출,,
流通,りゅうつう,유통,,
浅ましい,あさましい,비열하다 한심하다,,
浜辺,はまべ,해변,,
浮力,ふりょく,부력,,
浴室,よくしつ,욕실,,
海抜,かいばつ,해발,,
海流,かいりゅう,해류,,
海路,かいろ,해로,,
海運,かいうん,해운,,
消去,しょうきょ,소거,,
消息,しょうそく,소식,,
淡い,あわい,옅은,,
混乱,こんらん,혼란,,
混同,こんどう,혼동,,
混血,こんけつ,혼혈,,
添付,てんぷ,첨부,,
清らかな,きよらかな,맑고 깨끗한,,
清濁,せいだく,청탁,,
清純な,せいじゅんな,청순한,,
済ます,すます,끝내다,,
渋い,しぶい,떫다 수수하다,,
渋滞,じゅうたい,정체,,
減少,げんしょう,감소,,
減点,げんてん,감점,,
温和な,おんわな,온화한,,
満たす,みたす,채우다,,
満喫,まんきつ,만끽,,
満月,まんげつ,보름달,,
満足感,まんぞくかん,만족감,,
源,みなもと,근원,,
溶液,ようえき,용액,,
滅亡,めつぼう,멸망,,
滑らかな,なめらかな,매끄러운,,
滑稽な,こっけいな,우스꽝스러운,,
滞る,とどこおる,밀리다,,
滞納,たいのう,체납,,
漁村,ぎょそん,어촌,,
演出,えんしゅつ,연출,,
演出家,えんしゅつか,연출가,,
演技派,えんぎは,연기파,,
漠然と,ばくぜんと,막연히,,
漢語,かんご,한어,,
潔い,いさぎよい,깨끗한,,
潜入,せんにゅう,잠입,,
潜水,せんすい,잠수,,
潤う,うるおう,윤택해지다,,
激励,げきれい,격려,,
火星,かせい,화성,,
炭素,たんそ,탄소,,
点検,てんけん,점검,,
点火,てんか,점화,,
点線,てんせん,점선,,
無免許,むめんきょ,무면허,,
無制限,むせいげん,무제한,,
無念な,むねんな,분한,,
無性に,むしょうに,몹시,,
無意味,むいみ,무의미,,
無断,むだん,무단,,
無条件,むじょうけん,무조건,,
無添加,むてんか,무첨가,,
無用な,むような,쓸모없는,,
無知な,むちな,무지한,,
無礼な,ぶれいな,무례한,,
無神経,むしんけい,무신경,,
無線,むせん,무선,,
無茶苦茶,むちゃくちゃ,엉망진창,,
無言,むごん,무언,,
無記名,むきめい,무기명,,
無論,むろん,물론,,
無責任,むせきにん,무책임,,
無造作な,むぞうさな,무심한,,
無邪気,むじゃき,천진난만,,
無関心,むかんしん,무관심,,
照合,しょうごう,대조,,
照明,しょうめい,조명,,
煩雑な,はんざつな,번잡한,,
熱意,ねつい,열의,,
熱湯,ねっとう,끓는 물,,
熱量,ねつりょう,열량,,
燃料,ねんりょう,연료,,
燃焼,ねんしょう,연소,,
爆弾,ばくだん,폭탄,,
版画,はんが,판화,,
牧師,ぼくし,목사,,
物事,ものごと,사물,,
物体,ぶったい,물체,,
物好きな,ものずきな,호기심 많은 별난,,
物議,ぶつぎ,물의,,
物資,ぶっし,물자,,
物足りない,ものたりない,부족하다 아쉽다,,
特性,とくせい,특성,,
特技,とくぎ,특기,,
特有,とくゆう,특유,,
特権,とっけん,특권,,
特産,とくさん,특산,,
特設,とくせつ,특설,,
特許,とっきょ,특허,,
特許権,とっきょけん,특허권,,
犠牲,ぎせい,희생,,
犯す,おかす,범하다,,
狙い,ねらい,노림,,
独創,どくそう,독창,,
独占,どくせん,독점,,
独自,どくじ,독자,,
独裁,どくさい,독재,,
猛反対,もうはんたい,맹반대,,
猛烈な,もうれつな,맹렬한,,
献立,こんだて,식단,,
獲得,かくとく,획득,,
率いる,ひきいる,거느리다,,
率先,そっせん,솔선,,
玩具,がんぐ,완구,,
現地,げんち,현지,,
現行,げんこう,현행,,
球根,きゅうこん,구근,,
理屈,りくつ,이치,,
理論,りろん,이론,,
生中継,なまちゅうけい,생중계,,
生態系,せいたいけい,생태계,,
生易しい,なまやさしい,쉬운 안이한,,
生死,せいし,생사,,
生活費,せいかつひ,생활비,,
生温い,なまぬるい,미지근하다 어중간하다,,
生理,せいり,생리,,
生真面目な,きまじめな,고지식한 지나치게 성실한,,
生育,せいいく,생육,,
生臭い,なまぐさい,비린내가 나다 속세적이다,,
生計,せいけい,생계,,
産婦人科,さんふじんか,산부인과,,
産物,さんぶつ,산물,,
用件,ようけん,용건,,
用品,ようひん,용품,,
用法,ようほう,용법,,
用紙,ようし,용지,,
田園,でんえん,전원,,
田舎,いなか,시골,,
由緒,ゆいしょ,유서,,
畜生,ちくしょう,짐승,,
畜産,ちくさん,축산,,
略奪,りゃくだつ,약탈,,
略語,りゃくご,약어,,
異動,いどう,인사 이동,,
異性,いせい,이성,,
異色,いしょく,이색,,
異見,いけん,이견,,
異論,いろん,이의,,
疎い,うとい,어두운,,
疑惑,ぎわく,의혹,,
疲れ果てる,つかれはてる,완전히 지치다,,
痛切な,つうせつな,절실한,,
発作,ほっさ,발작,,
発掘,はっくつ,발굴,,
発揮,はっき,발휘,,
発生,はっせい,발생,,
発病,はつびょう,발병,,
発育,はついく,발육,,
発芽,はつが,발아,,
発言,はつげん,발언,,
発足,ほっそく,발족,,
登校,とうこう,등교,,
皇居,こうきょ,황거,,
盛り上がる,もりあがる,고조되다 부풀어 오르다,,
盛大な,せいだいな,성대한,,
監視,かんし,감시,,
目先,めさき,눈앞,,
目安,めやす,기준,,
目覚ましい,めざましい,눈부신,,
目録,もくろく,목록,,
盲点,もうてん,맹점,,
直感,ちょっかん,직감,,
直面,ちょくめん,직면,,
相互,そうご,상호,,
相場,そうば,시세,,
相応,そうおう,상응,,
省く,はぶく,생략하다,,
看護師,かんごし,간호사,,
真実,しんじつ,진실,,
真犯人,しんはんにん,진범,,
真理,しんり,진리,,
真相,しんそう,진상,,
眠たい,ねむたい,졸리다,,
眼球,がんきゅう,안구,,
眼科,がんか,안과,,
着工,ちゃっこう,착공,,
着席,ちゃくせき,착석,,
着手,ちゃくしゅ,착수,,
着目,ちゃくもく,착목,,
着色,ちゃくしょく,착색,,
着陸,ちゃくりく,착륙,,
督促,とくそく,독촉,,
矛盾,むじゅん,모순,,
知性,ちせい,지성,,
短大,たんだい,단기 대학,,
短歌,たんか,단가,,
短気な,たんきな,성급한,,
短波,たんぱ,단파,,
砂利,じゃり,자갈,,
研ぐ,とぐ,갈다,,
破壊,はかい,파괴,,
破棄,はき,파기,,
破産,はさん,파산,,
破裂,はれつ,파열,,
碁盤,ごばん,바둑판,,
確保,かくほ,확보,,
確信,かくしん,확신,,
確定,かくてい,확정,,
確立,かくりつ,확립,,
磁気,じき,자기,,
社交,しゃこう,사교,,
社宅,しゃたく,사택,,
神殿,しんでん,신전,,
神秘,しんぴ,신비,,
神経系,しんけいけい,신경계,,
禁物,きんもつ,금물,,
私用,しよう,사적인 용무,,
秘密裏,ひみつり,비밀리에,,
秘書,ひしょ,비서,,
移住,いじゅう,이주,,
税務署,ぜいむしょ,세무서,,
種々,しゅじゅ,여러 가지,,
稼働,かどう,가동,,
積む,つむ,쌓다,,
穏やかな,おだやかな,온화한 평온한,,
究明,きゅうめい,규명,,
究極,きゅうきょく,궁극,,
空腹,くうふく,공복,,
空間,くうかん,공간,,
突破,とっぱ,돌파,,
窒息,ちっそく,질식,,
窮乏,きゅうぼう,궁핍,,
立ち去る,たちさる,떠나다,,
立ち寄る,たちよる,들르다,,
立て替える,たてかえる,대신 지불하다,,
立体,りったい,입체,,
立場,たちば,입장,,
立方,りっぽう,입방,,
立案,りつあん,입안,,
立法,りっぽう,입법,,
立腹,りっぷく,화남,,
端,はし,끝,,
端的な,たんてきな,단적인,,
等級,とうきゅう,등급,,
箇条書き,かじょうがき,항목별로 씀,,
算出,さんしゅつ,산출,,
管理費,かんりひ,관리비,,
築く,きずく,쌓다,,
簡易な,かんいな,간이한,,
簡素な,かんそな,간소한,,
粉末,ふんまつ,분말,,
粋な,いきな,세련된 멋진,,
精密な,せいみつな,정밀한,,
精巧な,せいこうな,정교한,,
精算,せいさん,정산,,
精鋭,せいえい,정예,,
納入,のうにゅう,납입,,
納得,なっとく,납득,,
紛らわしい,まぎらわしい,헷갈리는,,
紛れる,まぎれる,뒤섞이다,,
紛失,ふんしつ,분실,,
素早い,すばやい,재빠른,,
素朴な,そぼくな,소박한,,
紡績,ぼうせき,방적,,
紫,むらさき,보라색,,
細心,さいしん,세심,,
細胞,さいぼう,세포,,
細菌,さいきん,세균,,
紳士,しんし,신사,,
終了,しゅうりょう,종료,,
終始,しゅうし,시종,,
組み合わせる,くみあわせる,조합하다 맞추다,,
組み込む,くみこむ,짜 넣다 포함시키다,,
経営権,けいえいけん,경영권,,
経歴,けいれき,경력,,
経済上,けいざいじょう,경제상,,
経済性,けいざいせい,경제성,,
経緯,けいい,경위,,
経費,けいひ,경비,,
経路,けいろ,경로,,
経過,けいか,경과,,
結合,けつごう,결합,,
結成,けっせい,결성,,
結晶,けっしょう,결정,,
結束,けっそく,결속,,
結核,けっかく,결핵,,
絡む,からむ,얽히다,,
給食,きゅうしょく,급식,,
統制,とうせい,통제,,
統治,とうち,통치,,
統率,とうそつ,통솔,,
絶える,たえる,끊기다,,
絶大な,ぜつだいな,절대한,,
絶好調,ぜっこうちょう,최고조 절호조,,
絶望,ぜつぼう,절망,,
絶版,ぜっぱん,절판,,
維持,いじ,유지,,
網羅,もうら,망라,,
綿密な,めんみつな,면밀한,,
緊密,きんみつ,긴밀,,
緊迫,きんぱく,긴박,,
総会,そうかい,총회,,
総合,そうごう,종합,,
締める,しめる,조이다,,
緩やかな,ゆるやかな,완만한 느슨한,,
緩和,かんわ,완화,,
練る,ねる,다듬다,,
縁談,えんだん,혼담,,
繁殖,はんしょく,번식,,
繁盛,はんじょう,번성,,
繕う,つくろう,수선하다,,
美容室,びようしつ,미용실,,
美術,びじゅつ,미술,,
群衆,ぐんしゅう,군중,,
群集,ぐんしゅう,군집,,
義理,ぎり,의리,,
習得,しゅうとく,습득,,
翼,つばさ,날개,,
老いる,おいる,늙다,,
考古学,こうこがく,고고학,,
考慮,こうりょ,고려,,
耐える,たえる,견디다,,
耕作,こうさく,경작,,
耳鼻科,じびか,이비인후과,,
聖書,せいしょ,성서,,
聴覚,ちょうかく,청각,,
聴診器,ちょうしんき,청진기,,
聴講,ちょうこう,청강,,
職務,しょくむ,직무,,
職員,しょくいん,직원,,
肉体,にくたい,육체,,
肉親,にくしん,육친,,
肝心な,かんじんな,중요한,,
育成,いくせい,육성,,
背く,そむく,거스르다,,
脅迫,きょうはく,협박,,
脚本,きゃくほん,각본,,
脚色,きゃくしょく,각색,,
脱出,だっしゅつ,탈출,,
脱退,だったい,탈퇴,,
腐敗,ふはい,부패,,
腕前,うでまえ,솜씨,,
膨れる,ふくれる,부풀다,,
膨大,ぼうだい,방대,,
膨大な,ぼうだいな,방대한,,
膨張,ぼうちょう,팽창,,
臆病な,おくびょうな,겁이 많은,,
自ら,みずから,스스로,,
自主,じしゅ,자주,,
自動詞,じどうし,자동사,,
自尊心,じそんしん,자존심,,
自己,じこ,자기 자신,,
自己流,じこりゅう,자기 방식,,
自我,じが,자아,,
自然浄化,しぜんじょうか,자연 정화,,
自立,じりつ,자립,,
自粛,じしゅく,자숙,,
自転,じてん,자전,,
興業,こうぎょう,흥행업,,
舗装,ほそう,포장,,
船舶,せんぱく,선박,,
良い・よし,よい・よし,좋다,,
良好な,りょうこうな,양호한,,
良心,りょうしん,양심,,
良質な,りょうしつな,양질의,,
色彩,しきさい,색채,,
芝居,しばい,연극,,
花粉,かふん,꽃가루,,
芽,め,싹,,
苗,なえ,모종,,
若干,じゃっかん,약간,,
英雄,えいゆう,영웅,,
草花,くさばな,풀꽃,,
荒っぽい,あらっぽい,거칠다 난폭하다,,
荒廃,こうはい,황폐,,
華々しい,はなばなしい,화려한,,
華やかな,はなやかな,화려한,,
華奢な,きゃしゃな,화사하고 가냘픈,,
落ち合う,おちあう,만나다 합류하다,,
落ち込む,おちこむ,풀이 죽다 빠지다,,
落下,らっか,낙하,,
著しい,いちじるしい,현저하다 두드러지다,,
著作権,ちょさくけん,저작권,,
著名な,ちょめいな,저명한,,
著書,ちょしょ,저서,,
葛藤,かっとう,갈등,,
蓄積,ちくせき,축적,,
薄弱な,はくじゃくな,박약한,,
薬剤師,やくざいし,약사,,
虚ろな,うつろな,공허한 멍한,,
蛋白質,たんぱくしつ,단백질,,
融資,ゆうし,융자,,
融通,ゆうずう,융통,,
衆議院,しゅうぎいん,중의원,,
行きそびれる,いきそびれる,갈 기회를 놓치다,,
行動派,こうどうは,행동파,,
行政,ぎょうせい,행정,,
行進,こうしん,행진,,
街道,かいどう,가도,,
衛生,えいせい,위생,,
衝撃,しょうげき,충격,,
衣料,いりょう,의류,,
衣類,いるい,의류,,
表向き,おもてむき,표면상,,
衰える,おとろえる,쇠약해지다,,
衰退,すいたい,쇠퇴,,
装備,そうび,장비,,
装飾,そうしょく,장식,,
裏腹,うらはら,정반대,,
補償,ほしょう,보상,,
補充,ほじゅう,보충,,
補助,ほじょ,보조,,
補強,ほきょう,보강,,
補給,ほきゅう,보급,,
補足,ほそく,보충,,
裸,はだか,알몸,,
製法,せいほう,제법,,
製鉄,せいてつ,제철,,
複合,ふくごう,복합,,
褒美,ほうび,상,,
襲う,おそう,습격하다,,
襲撃,しゅうげき,습격,,
要因,よういん,요인,,
要旨,ようし,요지,,
要望,ようぼう,요망,,
要請,ようせい,요청,,
要領,ようりょう,요령,,
覆す,くつがえす,뒤집다,,
覆面,ふくめん,복면,,
見かける,みかける,눈에 띄다 보게 되다,,
見合わせる,みあわせる,보류하다 서로 마주 보다,,
見地,けんち,견지,,
見失う,みうしなう,놓치다 잃어버리다,,
見当たる,みあたる,발견되다 눈에 띄다,,
見慣れる,みなれる,눈에 익다,,
見渡す,みわたす,멀리 바라보다,,
見直す,みなおす,다시 보다 재검토하다,,
見習う,みならう,본받다 배우다,,
見落とす,みおとす,못 보고 지나치다,,
見込み,みこみ,가망,,
見送る,みおくる,배웅하다 보류하다,,
見逃す,みのがす,못 보고 넘기다 놓치다,,
見違える,みちがえる,몰라볼 정도로 달라지다,,
規制,きせい,규제,,
規定,きてい,규정,,
規格,きかく,규격,,
規模,きぼ,규모,,
規範,きはん,규범,,
規約,きやく,규약,,
視察,しさつ,시찰,,
視点,してん,시점 관점,,
視覚,しかく,시각,,
視野,しや,시야,,
観点,かんてん,관점,,
観衆,かんしゅう,관중,,
観覧,かんらん,관람,,
解剖,かいぼう,해부,,
解明,かいめい,규명,,
解除,かいじょ,해제,,
言い張る,いいはる,우겨 말하다 주장하다,,
言い渡す,いいわたす,선고하다 통고하다,,
言い通す,いいとおす,끝까지 주장하다,,
言及,げんきゅう,언급,,
言論,げんろん,언론,,
訂正,ていせい,정정,,
計器,けいき,계기,,
討論,とうろん,토론,,
討議,とうぎ,토의,,
記載,きさい,기재,,
記述,きじゅつ,기술,,
訪れる,おとずれる,방문하다,,
設定,せってい,설정,,
設立,せつりつ,설립,,
許容,きょよう,허용,,
訴訟,そしょう,소송,,
診療,しんりょう,진료,,
証拠,しょうこ,증거,,
証言,しょうげん,증언,,
詐欺,さぎ,사기,,
試み,こころみ,시도,,
試みる,こころみる,시도하다,,
該当,がいとう,해당,,
詳細な,しょうさいな,상세한,,
誇る,ほこる,자랑하다,,
認める,みとめる,인정하다,,
認識,にんしき,인식,,
語る,かたる,말하다,,
語句,ごく,어구,,
語彙,ごい,어휘,,
語源,ごげん,어원,,
誠実な,せいじつな,성실한,,
誤る,あやまる,잘못하다,,
誤作動,ごさどう,오작동,,
誤差,ごさ,오차,,
説く,とく,설명하다,,
説得,せっとく,설득,,
読み上げる,よみあげる,소리 내어 읽다 낭독하다,,
読者,どくしゃ,독자,,
課外,かがい,과외,,
調停,ちょうてい,조정,,
調印,ちょういん,조인,,
調和,ちょうわ,조화,,
調理,ちょうり,조리,,
調達,ちょうたつ,조달,,
論議,ろんぎ,논의,,
諸君,しょくん,제군,,
謙虚,けんきょ,겸허,,
講習,こうしゅう,강습,,
講読,こうどく,강독,,
識別,しきべつ,식별,,
警戒,けいかい,경계,,
警部,けいぶ,경부,,
議事堂,ぎじどう,의사당,,
議案,ぎあん,의안,,
議決,ぎけつ,의결,,
議題,ぎだい,의제,,
護衛,ごえい,호위,,
豊作,ほうさく,풍작,,
象徴,しょうちょう,상징,,
豪快な,ごうかいな,호쾌한,,
貝殻,かいがら,조개껍데기,,
負かす,まかす,이기다,,
財政,ざいせい,재정,,
財源,ざいげん,재원,,
貢献,こうけん,공헌,,
貧乏な,びんぼうな,가난한,,
貧困な,ひんこんな,빈곤한,,
貧富,ひんぷ,빈부,,
貧弱な,ひんじゃくな,빈약한,,
貨幣,かへい,화폐,,
貫く,つらぬく,관철하다,,
貫禄,かんろく,관록,,
責任感,せきにんかん,책임감,,
責務,せきむ,책무,,
貯蓄,ちょちく,저축,,
貴族,きぞく,귀족,,
貴重な,きちょうな,귀중한,,
賃金,ちんぎん,임금,,
賄う,まかなう,충당하다,,
資格,しかく,자격,,
資産,しさん,자산,,
資金,しきん,자금,,
賛美,さんび,찬미,,
賜る,たまわる,받다,,
賠償,ばいしょう,배상,,
賢い,かしこい,영리한,,
賢明な,けんめいな,현명한,,
質疑,しつぎ,질의,,
質素な,しっそな,검소한,,
購入,こうにゅう,구입,,
走行,そうこう,주행,,
赴任,ふにん,부임,,
起伏,きふく,기복,,
起点,きてん,기점,,
起用,きよう,기용,,
超大作,ちょうたいさく,초대작,,
超満員,ちょうまんいん,초만원,,
超能力,ちょうのうりょく,초능력,,
超音波,ちょうおんぱ,초음파,,
超高層,ちょうこうそう,초고층,,
趣旨,しゅし,취지,,
跡地,あとち,터,,
踏み切る,ふみきる,결단하다 과감히 실행하다,,
踏み場,ふみば,디딜 곳,,
踏み込む,ふみこむ,발을 들이다 깊이 들어가다,,
踏襲,とうしゅう,답습,,
躍進,やくしん,약진,,
身近な,みぢかな,가까운 친근한,,
軌道,きどう,궤도,,
軍事,ぐんじ,군사,,
軍備,ぐんび,군비,,
軍艦,ぐんかん,군함,,
転任,てんにん,전임,,
転勤,てんきん,전근,,
転回,てんかい,전회,,
転居,てんきょ,전거,,
転換,てんかん,전환,,
転校,てんこう,전학,,
転落,てんらく,전락,,
軽工業,けいこうぎょう,경공업,,
軽快な,けいかいな,경쾌한,,
軽減,けいげん,경감,,
軽犯罪,けいはんざい,경범죄,,
軽症,けいしょう,경상 가벼운 증상,,
軽自動車,けいじどうしゃ,경자동차,,
軽蔑,けいべつ,경멸,,
軽視,けいし,경시,,
輝く,かがやく,빛나다,,
辞任,じにん,사임,,
辞職,じしょく,사직,,
農地,のうち,농지,,
農場,のうじょう,농장,,
農耕,のうこう,농경,,
辿り着く,たどりつく,간신히 도착하다,,
迅速な,じんそくな,신속한,,
近眼,きんがん,근시안,,
近視,きんし,근시,,
返済,へんさい,반제,,
返答,へんとう,답변,,
返金,へんきん,환불,,
迫る,せまる,다가오다,,
迫害,はくがい,박해,,
追い出す,おいだす,쫓아내다,,
追い返す,おいかえす,돌려보내다 쫓아 돌려보내다,,
追及,ついきゅう,추궁,,
追放,ついほう,추방,,
追跡,ついせき,추적,,
退化,たいか,퇴화,,
退学,たいがく,퇴학,,
退治,たいじ,퇴치,,
退職,たいしょく,퇴직,,
送金,そうきん,송금,,
逃げ出す,にげだす,도망치다,,
逃す,のがす,놓치다,,
逃亡,とうぼう,도망,,
逃走,とうそう,도주,,
逆転,ぎゃくてん,역전,,
途上,とじょう,도상,,
速やかな,すみやかな,신속한,,
連中,れんちゅう,패거리,,
連休,れんきゅう,연휴,,
連携,れんけい,연계,,
連盟,れんめい,연맹,,
連邦,れんぽう,연방,,
週刊誌,しゅうかんし,주간지,,
進出,しんしゅつ,진출,,
進呈,しんてい,증정,,
進展,しんてん,진전,,
進度,しんど,진도,,
進行,しんこう,진행,,
逸材,いつざい,뛰어난 인재,,
逸脱,いつだつ,일탈,,
遂げる,とげる,이루다,,
遂行,すいこう,수행,,
遊牧,ゆうぼく,유목,,
運命,うんめい,운명,,
運搬,うんぱん,운반,,
運用,うんよう,운용,,
運賃,うんちん,운임,,
運輸,うんゆ,운수,,
運送,うんそう,운송,,
過労,かろう,과로,,
過密,かみつ,과밀,,
過疎,かそ,과소,,
道場,どうじょう,도장,,
達成,たっせい,달성,,
達者な,たっしゃな,능숙한,,
違和感,いわかん,위화감,,
遠方,えんぽう,먼 곳,,
遥かな,はるかな,아득한 먼,,
適宜,てきぎ,적절히,,
適性,てきせい,적성,,
適正,てきせい,적정,,
遮断,しゃだん,차단,,
選手団,せんしゅだん,선수단,,
選挙,せんきょ,선거,,
選挙権,せんきょけん,선거권,,
遺跡,いせき,유적,,
還元,かんげん,환원,,
邸宅,ていたく,저택,,
部下,ぶか,부하,,
部門,ぶもん,부문,,
郷土,きょうど,향토,,
郷愁,きょうしゅう,향수,,
配偶者,はいぐうしゃ,배우자,,
配分,はいぶん,배분,,
配列,はいれつ,배열,,
配布,はいふ,배포,,
配当,はいとう,배당,,
配慮,はいりょ,배려,,
配給,はいきゅう,배급,,
配線,はいせん,배선,,
